Year,Rank,Rider,Team,TotalSeconds,GapSeconds
2010,1,ANDY SCHLECK,TEAM SAXO BANK,331167,0
2010,2,SAMUEL SANCHEZ,EUSKALTEL - EUSKADI,331348,181
2010,3,JURGEN VAN DEN BROECK,OMEGA PHARMA - LOTTO,331542,375
2010,5,ROBERT GESINK,RABOBANK,331699,532
2010,6,RYDER HESJEDAL,GARMIN - TRANSITIONS,331743,576
2010,7,JOAQUIN RODRIGUEZ OLIVER,KATUSHA TEAM,331825,658
2010,8,ROMAN KREUZIGER,LIQUIGAS-DOIMO,331842,675
2010,9,CHRISTOPHER HORNER,TEAM RADIOSHACK,331850,683
2010,10,LUIS LEON SANCHEZ,CAISSE D'EPARGNE,331989,822
2010,11,RUBEN PLAZA MOLINA,CAISSE D'EPARGNE,331997,830
2010,12,LEVI LEIPHEIMER,TEAM RADIOSHACK,332008,841
2010,13,ANDREAS KLÖDEN,TEAM RADIOSHACK,332124,957
2010,14,NICOLAS ROCHE,AG2R LA MONDIALE,332147,980
2010,15,ALEXANDRE VINOKOUROV,ASTANA,332194,1027
2010,16,THOMAS LÖVKVIST,SKY PRO CYCLING,332374,1207
2010,17,KEVIN DE WEERT,QUICK STEP,332442,1275
2010,18,JOHN GADRET,AG2R LA MONDIALE,332572,1405
2010,19,CARLOS SASTRE,CERVELO TEST TEAM,332725,1558
2010,21,DANIEL MORENO FERNANDEZ,OMEGA PHARMA - LOTTO,332906,1739
2010,22,CHRISTOPHE MOREAU,CAISSE D'EPARGNE,333169,2002
2010,24,BRADLEY WIGGINS,SKY PRO CYCLING,333492,2325
2010,25,SANDY CASAR,FDJ,333880,2713
2010,26,CADEL EVANS,BMC RACING TEAM,334155,2988
2010,27,JULIEN EL FARES,COFIDIS LE CREDIT EN LIGNE,334330,3163
2010,28,CHRISTOPHE RIBLON,AG2R LA MONDIALE,334441,3274
2010,29,DAMIANO CUNEGO,LAMPRE - FARNESE,334541,3374
2010,30,JOHAN VAN SUMMEREN,GARMIN - TRANSITIONS,334661,3494
2010,31,SYLVAIN CHAVANEL,QUICK STEP,334685,3518
2010,32,IVAN BASSO,LIQUIGAS-DOIMO,334701,3534
2010,33,MARIO AERTS,OMEGA PHARMA - LOTTO,334884,3717
2010,34,VOLODYMIR GUSTOV,CERVELO TEST TEAM,335319,4152
2010,35,JUAN MANUEL GARATE,RABOBANK,335331,4164
2010,36,GORKA VERDUGO,EUSKALTEL - EUSKADI,335337,4170
2010,37,MICHAEL ROGERS,TEAM HTC - COLUMBIA,335339,4172
2010,38,RÉMI PAURIOL,COFIDIS LE CREDIT EN LIGNE,335380,4213
2010,39,KANSTANTSIN SIUTSOU,TEAM HTC - COLUMBIA,335527,4360
2010,40,EGOI MARTINEZ,EUSKALTEL - EUSKADI,335877,4710
2010,42,CHRISTOPHE LE MEVEL,FDJ,336086,4919
