rennen,jahr,stage_id,stage_num,km,hm,ps,D,parcours_type,terrain,sicherheit,avg_speed_winner,won_how,win_type,startlist_quality
TdF,2020,1,1,156.0,1597.0,46.0,0.2948717948717949,Hills flat finish,Rolling,0.5572867063492063,41.35,Sprint of large group,Large group sprint,1662.0
TdF,2020,2,2,185.0,4066.0,188.0,1.0162162162162163,Mountains flat finish,Mountain,0.38548878511194684,37.57,Sprint of small group,Small group sprint,1662.0
TdF,2020,3,3,198.0,3003.0,81.0,0.4090909090909091,Hills flat finish,Hilly_Difficult,0.41127437464496297,37.39,Sprint of large group,Large group sprint,1662.0
TdF,2020,4,4,160.5,3200.0,200.0,1.2461059190031152,Mountains uphill finish,Medium_Mountain,0.5195047258297258,38.86,Sprint of small group,Small group sprint,1662.0
TdF,2020,5,5,183.0,1388.0,31.0,0.16939890710382513,Flat,Hilly,0.5187322195348512,42.01,Sprint of large group,Large group sprint,1662.0
TdF,2020,6,6,191.0,3087.0,227.0,1.1884816753926701,Mountains uphill finish,Hilly_Difficult,0.4206277958152959,42.04,17 km solo,Solo,1662.0
TdF,2020,7,7,168.0,2011.0,47.0,0.27976190476190477,Hills flat finish,Rolling,0.5114645515303411,47.54,Sprint of large group,Large group sprint,1662.0
TdF,2020,8,8,141.0,3821.0,295.0,2.0921985815602837,Mountains flat finish,Medium_Mountain,0.3838952318106731,34.93,35 km solo,Solo,1662.0
TdF,2020,9,9,153.0,3500.0,239.0,1.5620915032679739,Mountains flat finish,Mountain,0.39093055025040313,39.02,Sprint of small group,Small group sprint,1662.0
TdF,2020,10,10,168.5,531.0,2.0,0.011869436201780416,Flat,Flat,0.8062548701298702,46.94,Sprint of large group,Large group sprint,1662.0
TdF,2020,11,11,166.5,1008.0,13.0,0.07807807807807808,Flat,Flat,0.7528531282421571,41.62,Sprint of large group,Large group sprint,1662.0
TdF,2020,12,12,218.0,3389.0,142.0,0.6513761467889908,Hills uphill finish,Medium_Mountain,0.8174304625929628,42.36,28 km solo,Solo,1662.0
TdF,2020,13,13,191.5,4459.0,302.0,1.577023498694517,Mountains uphill finish,Mountain,0.5455295499027117,38.07,0.1 km solo,Solo,1662.0
TdF,2020,14,14,194.0,2646.0,73.0,0.37628865979381443,Mountains flat finish,Hilly_Difficult,0.40124100289545334,43.41,3 km solo,Solo,1662.0
TdF,2020,15,15,174.5,3724.0,390.0,2.2349570200573066,Mountains uphill finish,Medium_Mountain,0.4134607683982685,38.18,Sprint à deux,Sprint à deux,1662.0
TdF,2020,16,16,164.0,3903.0,250.0,1.524390243902439,Mountains uphill finish,Mountain,0.731349956212089,38.91,25 km solo,Solo,1662.0
TdF,2020,17,17,170.0,4430.0,444.0,2.611764705882353,Mountains uphill finish,Mountain,0.5124871820244266,35.28,3.5 km solo,Solo,1662.0
TdF,2020,18,18,175.0,5166.0,314.0,1.7942857142857143,Mountains flat finish,High_Mountain,0.9060119460862497,36.52,Other,Unknown type,1662.0
TdF,2020,19,19,166.5,2208.0,77.0,0.4624624624624625,Hills flat finish,Hilly_Difficult,0.46788138954857283,46.13,16 km solo,Solo,1662.0
TdF,2020,21,21,122.0,816.0,11.0,0.09016393442622951,Flat,Flat,0.7648409302685617,42.18,Sprint of large group,Large group sprint,1662.0
TdF,2021,1,1,197.8,2843.0,109.0,0.551061678463094,Hills uphill finish,Hilly_Difficult,0.7451202240827629,42.525,2.2 km solo,Solo,1646.0
TdF,2021,2,2,183.5,2210.0,102.0,0.555858310626703,Hills uphill finish,Hilly_Difficult,0.6919751023131456,42.592,0.75 km solo,Solo,1646.0
TdF,2021,3,3,182.9,1534.0,34.0,0.1858939311098961,Hills flat finish,Rolling,0.4722518315018314,45.447,Sprint of large group,Large group sprint,1646.0
TdF,2021,4,4,150.4,1404.0,24.0,0.15957446808510636,Flat,Rolling,0.5853868374272785,45.056,Sprint of large group,Large group sprint,1646.0
TdF,2021,6,6,160.4,977.0,5.0,0.031172069825436407,Flat,Flat,0.8191150330040619,48.704,Sprint of large group,Large group sprint,1646.0
TdF,2021,7,7,249.1,3120.0,146.0,0.586109995985548,Hills flat finish,Hilly_Difficult,0.49404423561633387,45.521,18 km solo,Solo,1646.0
TdF,2021,8,8,150.8,3557.0,310.0,2.055702917771883,Mountains flat finish,Medium_Mountain,0.3954625270562771,38.554,15.4 km solo,Solo,1646.0
TdF,2021,9,9,144.9,4628.0,381.0,2.629399585921325,Mountains uphill finish,High_Mountain,0.6783947313361769,32.596,17.3 km solo,Solo,1646.0
TdF,2021,10,10,190.7,1488.0,29.0,0.15207131620346095,Hills flat finish,Flat,0.4129021296363595,45.027,Sprint of large group,Large group sprint,1646.0
TdF,2021,11,11,198.9,4671.0,282.0,1.4177978883861238,Mountains flat finish,Mountain,0.5592728860192098,37.562,33.1 km solo,Solo,1646.0
TdF,2021,12,12,159.4,2052.0,52.0,0.3262233375156838,Hills flat finish,Rolling,0.5428640873015874,47.3,11.8 km solo,Solo,1646.0
TdF,2021,13,13,219.9,2023.0,29.0,0.1318781264211005,Hills flat finish,Flat,0.6381929981782922,43.332,Sprint of large group,Large group sprint,1646.0
TdF,2021,14,14,183.7,2877.0,125.0,0.6804572672836147,Mountains flat finish,Hilly_Difficult,0.7413674289891397,43.01,42.7 km solo,Solo,1646.0
TdF,2021,15,15,191.3,4572.0,234.0,1.2232096184004182,Mountains flat finish,Mountain,0.35805839605655776,36.777,19.5 km solo,Solo,1646.0
TdF,2021,16,16,169.0,3260.0,177.0,1.047337278106509,Mountains flat finish,Medium_Mountain,0.5100793650793651,41.904,34.6 km solo,Solo,1646.0
TdF,2021,17,17,178.4,4375.0,450.0,2.522421524663677,Mountains uphill finish,Mountain,0.5540165519600463,35.267,Sprint of small group,Small group sprint,1646.0
TdF,2021,18,18,129.7,3561.0,367.0,2.829606784888204,Mountains uphill finish,Hilly_Difficult,0.4706556221556224,36.407,0.6 km solo,Solo,1646.0
TdF,2021,19,19,207.0,1181.0,16.0,0.07729468599033816,Hills flat finish,Flat,0.7710457915837177,47.901,26 km solo,Solo,1646.0
TdF,2021,21,21,108.4,699.0,14.0,0.12915129151291513,Flat,Flat,0.8032585889987205,40.748,Sprint of large group,Large group sprint,1646.0
TdF,2022,2,2,202.2,1149.0,11.0,0.05440158259149357,Flat,Flat,0.7892779344408604,44.186,Sprint of large group,Large group sprint,1551.0
TdF,2022,3,3,182.0,1280.0,16.0,0.08791208791208792,Flat,Flat,0.7809390221813792,43.411,Sprint of large group,Large group sprint,1551.0
TdF,2022,4,4,171.5,1785.0,63.0,0.3673469387755102,Flat,Rolling,0.4278829365079364,42.591,11.6 km solo,Solo,1551.0
TdF,2022,5,5,157.0,601.0,1.0,0.006369426751592357,Flat,Flat,0.8186239177489176,48.661,Sprint of small group,Small group sprint,1551.0
TdF,2022,6,6,219.9,2477.0,85.0,0.38653933606184626,Hills uphill finish,Rolling,0.4364764718576992,49.376,Sprint of small group,Small group sprint,1551.0
TdF,2022,7,7,176.3,2526.0,192.0,1.0890527509926262,Mountains uphill finish,Hilly_Difficult,0.40388347763347754,44.321,Sprint à deux,Sprint à deux,1551.0
TdF,2022,8,8,186.3,2556.0,87.0,0.46698872785829304,Hills uphill finish,Hilly_Difficult,0.7047353627902812,44.164,Sprint of small group,Small group sprint,1551.0
TdF,2022,9,9,192.9,3743.0,223.0,1.1560393986521513,Hills uphill finish,Medium_Mountain,0.5705225108225106,40.377,60.5 km solo,Solo,1551.0
TdF,2022,10,10,148.1,2733.0,143.0,0.9655638082376773,Mountains uphill finish,Medium_Mountain,0.784886093073593,44.691,Sprint of small group,Small group sprint,1551.0
TdF,2022,11,11,151.7,4070.0,400.0,2.636783124588003,Mountains uphill finish,Mountain,0.5876022876790057,35.275,3.9 km solo,Solo,1551.0
TdF,2022,12,12,165.1,4660.0,389.0,2.3561477892186553,Mountains uphill finish,High_Mountain,0.676134072648198,33.534,11 km solo,Solo,1551.0
TdF,2022,13,13,192.6,2109.0,78.0,0.40498442367601245,Hills flat finish,Rolling,0.4439998329156223,45.667,Sprint of small group,Small group sprint,1551.0
TdF,2022,14,14,192.5,3441.0,170.0,0.8831168831168831,Hills flat finish,Medium_Mountain,0.8421827380952387,42.638,1.9 km solo,Solo,1551.0
TdF,2022,15,15,202.5,2416.0,64.0,0.3160493827160494,Hills flat finish,Rolling,0.3938980989234439,45.429,Sprint of large group,Large group sprint,1551.0
TdF,2022,16,16,178.5,3418.0,204.0,1.1428571428571428,Mountains flat finish,Medium_Mountain,0.4876832251082251,40.602,39 km solo,Solo,1551.0
TdF,2022,17,17,129.7,3364.0,324.0,2.4980724749421745,Mountains uphill finish,Hilly_Difficult,0.46443064574314574,37.806,Sprint à deux,Sprint à deux,1551.0
TdF,2022,18,18,143.2,4036.0,408.0,2.849162011173185,Mountains uphill finish,High_Mountain,0.6132096081518276,35.825,3.6 km solo,Solo,1551.0
TdF,2022,19,19,188.3,1316.0,35.0,0.18587360594795538,Hills uphill finish,Hilly,0.44244467374730545,48.684,0.4 km solo,Solo,1551.0
TdF,2022,21,21,115.6,748.0,13.0,0.11245674740484429,Flat,Flat,0.8027987294138608,38.85,Sprint of large group,Large group sprint,1551.0
