Rider ID;First Name;Last Name;Birth Year;Age in 2027;Overall Rating;Potential Overall;Role;Contract Start;Contract End;New Signing;Drafted
6770;Remco;Evenepoel;2000;27;78.22;78.22;Kapitaen_2026;2028;No;Yes
3280;Primoz;Roglic;1990;37;77.78;77.79;Kapitaen_2026;2027;No;No
6501;Tom;Pidcock;2000;27;75.92;78.53;Kapitaen_2027;2028;Yes;Yes
15145;Kévin;Vauquelin;2001;26;74.59;74.59;Co-Kapitaen_2026;2027;No;No
3687;Tiesj;Benoot;1994;33;74.31;74.31;Co-Kapitaen_2027;2029;Yes;Yes
7117;Oier;Lazkano;2000;27;74.16;76.29;Co-Kapitaen_2026;2027;No;No
5663;Ben;O'Connor;1996;31;73.96;73.96;Edelhelfer_2026;2027;No;No
6688;Aurélien;Paret-Peintre;1996;31;73.96;73.96;Edelhelfer_2026;2027;No;No
3140;Felix;Großschartner;1994;33;73.83;73.83;Edelhelfer_2026;2028;No;Yes
6390;Mikkel;Bjerg;1999;28;73.54;73.54;Edelhelfer_2027;2029;Yes;Yes
2441;Marco;Haller;1991;36;72.82;72.82;Starke Helfer_2026;2027;No;No
3699;Mike;Teunissen;1993;34;72.82;72.82;Sprinter_2026;2028;No;No
7308;Tim;van Dijke;2000;27;72.46;75.18;Starke Helfer_2026;2027;No;No
3125;Yves;Lampaert;1991;36;72.46;72.46;Starke Helfer_2026;2027;No;No
7226;Georg;Steinhauser;2002;25;72.45;72.45;Starke Helfer_2027;2029;Yes;Yes
3957;Bruno;Armirail;1994;33;72.43;72.43;Starke Helfer_2027;2029;Yes;Yes
3716;Emanuel;Buchmann;1993;34;72.40;72.40;Starke Helfer_2027;2029;Yes;Yes
4268;Bart;Lemmen;1996;31;72.35;72.35;Starke Helfer_2026;2028;No;No
3942;Lorenzo;Rota;1995;32;72.14;72.14;Wassertraeger_2026;2028;No;No
14247;Lorenzo;Milesi;2002;25;71.92;75.08;Wassertraeger_2026;2028;No;No
4093;Francesco;Busatto;2003;24;71.31;75.81;Wassertraeger_2026;2027;No;No
9236;Adrià;Pericas;2006;21;71.13;76.71;Wassertraeger_2026;2027;No;No
7602;Milan;Fretin;2001;26;71.01;76.52;Sprinter_2026;2027;No;No
4261;Tijmen;Graat;2003;24;70.88;77.32;Wassertraeger_2027;2027;Yes;Yes
3559;Elmar;Reinders;1992;35;70.29;70.29;Wassertraeger_2026;2027;No;No
11230;Tomá;Kopecký;2000;27;70.27;70.27;Wassertraeger_2026;2027;No;No
3854;Lionel;Taminiaux;1996;31;69.73;69.73;Sprinter_2026;2027;No;No
4128;Warre;Vangheluwe;2002;25;69.51;75.21;Wassertraeger_2026;2027;No;No
15300;Florian;Dauphin;1999;28;69.38;69.38;Wassertraeger_2026;2027;No;No
11268;Alex;Tolio;2000;27;69.29;75.63;Wassertraeger_2026;2027;No;No
6703;Campbell;Stewart;1998;29;68.96;68.96;Wassertraeger_2026;2027;No;No
15121;Zeb;Kyffin;1998;29;68.27;68.27;Wassertraeger_2026;2028;No;No
