Rider ID;First Name;Last Name;Birth Year;Age in Season;Overall Rating;Potential Overall;Role;Contract Start;Contract End
9396;Paul;Seixas;2007;22;79.03;80.74;Kapitaen;2029;2029
3763;Daniel Felipe;Martínez;1996;33;74.59;75.27;Kapitaen;2027;2029
12023;Mario;Cordero Santos;2008;21;74.50;77.72;Kapitaen;2029;2030
14395;Romain;Grégoire;2003;26;74.49;78.38;Co-Kapitaen;2027;2031
6247;Jhonatan;Narváez;1997;32;73.90;74.81;Co-Kapitaen;2029;2031
4;Valentin;Madouas;1997;32;73.87;73.87;Co-Kapitaen;2028;2030
9590;Guus;van den Eijnden;2006;23;73.56;76.33;Edelhelfer;2028;2030
7051;Andrea;Bagioli;1999;30;73.17;73.57;Edelhelfer;2028;2030
5303;Steff;Cras;1996;33;73.06;73.74;Edelhelfer;2029;2031
9231;Jakob;Omrzel;2006;23;73.04;76.87;Edelhelfer;2029;2029
15205;Arnaud;De Lie;2002;27;73.04;73.04;Sprinter;2029;2030
15416;Noa;Isidore;2005;24;73.00;77.05;Starke Helfer;2028;2030
3931;Davide;Ballerini;1995;34;72.58;72.94;Starke Helfer;2026;2031
7161;Carlos;Canal;2001;28;72.18;72.18;Starke Helfer;2027;2029
7066;Mauri;Vansevenant;1999;30;72.16;72.16;Starke Helfer;2028;2030
5677;Simone;Velasco;1996;33;72.15;72.95;Starke Helfer;2028;2029
15572;Lars;Craps;2002;27;72.02;75.03;Starke Helfer;2029;2031
6570;Jordi;Meeus;1998;31;72.01;72.01;Sprinter;2029;2030
12774;Luke;Lamperti;2003;26;71.86;75.11;Sprinter;2027;2029
17115;Eike;Behrens;2006;23;71.86;75.13;Starke Helfer;2028;2030
9425;Kasper;Borremans;2007;22;71.81;74.49;Wassertraeger;2029;2031
15520;Aaron;Dockx;2004;25;71.79;75.32;Wassertraeger;2029;2029
4268;Bart;Lemmen;1996;33;71.70;72.35;Wassertraeger;2029;2031
6971;Juan Pedro;López;1998;31;71.51;71.92;Wassertraeger;2028;2029
7604;Luca;Van Boven;2000;29;71.38;76.12;Wassertraeger;2028;2030
3842;Lennard;Kämna;1997;32;71.38;72.06;Wassertraeger;2029;2030
4936;Ibai;Azanza;2004;25;71.14;75.16;Wassertraeger;2028;2030
16100;David Esteban;Hoyos;2005;24;71.09;74.06;Wassertraeger;2029;2029
10043;Ashlin;Barry;2008;21;70.99;74.07;Wassertraeger;2029;2031
9904;Marius;Innhaug Dahl;2006;23;70.80;73.58;Wassertraeger;2029;2030
12248;Mikkel;Weigelt;2008;21;70.78;74.05;Wassertraeger;2029;2031
8352;Joshua;Giddings;2004;25;70.06;75.98;Wassertraeger;2028;2030
