Rider ID;First Name;Last Name;Birth Year;Age in 2027;Overall Rating;Potential Overall;Role;Contract Start;Contract End;New Signing;Drafted
6195;Jonas;Vingegaard;1997;30;77.95;77.95;Kapitaen_2026;2027;No;No
6324;Jasper;Philipsen;1998;29;75.67;75.67;Kapitaen_2027;2028;Yes;Yes
3628;Nils;Politt;1994;33;75.33;75.33;Kapitaen_2026;2027;No;No
3763;Daniel Felipe;Martínez;1996;31;75.27;75.27;Co-Kapitaen_2027;2027;Yes;Yes
5672;Egan;Bernal;1997;30;74.32;74.32;Co-Kapitaen_2026;2029;No;Yes
7425;Mathias;Vacek;2002;25;73.98;77.16;Co-Kapitaen_2027;2027;Yes;Yes
3924;Tao;Geoghegan Hart;1995;32;73.08;73.08;Edelhelfer_2026;2027;No;No
5677;Simone;Velasco;1996;31;72.95;72.95;Edelhelfer_2026;2027;No;No
3382;Dylan;van Baarle;1992;35;72.92;72.92;Edelhelfer_2026;2027;No;No
6766;Gianni;Vermeersch;1993;34;72.80;72.80;Edelhelfer_2027;2027;Yes;Yes
15499;Jarno;Widar;2006;21;72.61;76.57;Starke Helfer_2026;2027;No;No
6838;Harry;Sweeny;1998;29;72.20;72.20;Starke Helfer_2027;2029;Yes;Yes
7113;Orluis;Aular;1997;30;71.89;71.89;Starke Helfer_2027;2029;Yes;Yes
14264;Samuel;Watson;2002;25;71.86;71.86;Starke Helfer_2026;2027;No;No
14241;Lander;Loockx;1997;30;71.86;71.86;Starke Helfer_2026;2028;No;No
15557;Viktor;Soenens;2006;21;71.79;78.27;Starke Helfer_2026;2027;No;No
7126;Marco;Frigo;2000;27;71.78;71.78;Starke Helfer_2027;2027;Yes;Yes
7454;Raúl;García Pierna;2001;26;71.71;71.71;Wassertraeger_2026;2027;No;No
9391;Albert;Withen Philipsen;2007;20;71.56;75.88;Wassertraeger_2026;2028;No;Yes
4938;Léo;Bisiaux;2005;22;71.21;76.28;Wassertraeger_2027;2028;Yes;Yes
6309;Sander;De Pestel;1999;28;71.00;75.80;Wassertraeger_2026;2029;No;Yes
7119;Joel;Nicolau;1998;29;70.86;70.86;Wassertraeger_2026;2027;No;No
6748;Arne;Marit;1999;28;70.86;70.86;Sprinter_2027;2028;Yes;Yes
15261;Emiel;Verstrynge;2002;25;70.53;70.53;Wassertraeger_2026;2027;No;No
6346;Emilien;Jeannière;1999;28;70.31;70.31;Sprinter_2026;2027;No;No
14301;Sam;Welsford;1996;31;70.30;70.30;Sprinter_2026;2027;No;No
5765;Patrick;Gamper;1997;30;70.24;70.24;Wassertraeger_2026;2028;No;No
5897;Chris;Hamilton;1995;32;70.23;70.23;Wassertraeger_2026;2028;No;Yes
6374;Lucas;Hamilton;1996;31;70.07;70.07;Wassertraeger_2027;2028;Yes;Yes
15503;Tobias;Svarre;2005;22;69.55;76.78;Wassertraeger_2027;2028;Yes;Yes
4262;Jesse;Kramer;2004;23;69.34;75.38;Wassertraeger_2026;2029;No;Yes
15749;Alexy;Faure-Prost;2004;23;69.24;74.89;Wassertraeger_2027;2027;Yes;Yes
