Rider ID;First Name;Last Name;Birth Year;Age in Season;Overall Rating;Potential Overall;Role;Contract Start;Contract End
6195;Jonas;Vingegaard;1997;30;77.95;77.95;Kapitaen;2026;2027
3628;Nils;Politt;1994;33;75.33;75.33;Kapitaen;2026;2027
7382;Lennert;Van Eetvelt;2002;25;75.22;78.75;Kapitaen;2027;2029
14321;Max;Poole;2003;24;74.51;78.36;Co-Kapitaen;2027;2028
6327;Pavel;Sivakov;1998;29;74.17;74.17;Co-Kapitaen;2027;2027
5303;Steff;Cras;1996;31;73.74;73.74;Co-Kapitaen;2027;2027
7424;Jay;Vine;1996;31;73.23;73.23;Edelhelfer;2027;2027
3924;Tao;Geoghegan Hart;1995;32;73.08;73.08;Edelhelfer;2026;2027
5677;Simone;Velasco;1996;31;72.93;72.95;Edelhelfer;2026;2027
15499;Jarno;Widar;2006;21;72.88;76.57;Edelhelfer;2026;2027
3382;Dylan;van Baarle;1992;35;72.86;72.92;Starke Helfer;2026;2027
15557;Viktor;Soenens;2006;21;72.74;78.27;Starke Helfer;2026;2027
6811;Kevin;Vermaerke;2001;26;72.39;72.39;Starke Helfer;2027;2028
7100;Matîs;Louvel;2000;27;71.99;71.99;Starke Helfer;2027;2027
5966;James;Shaw;1996;31;71.94;71.94;Starke Helfer;2027;2027
14264;Samuel;Watson;2002;25;71.86;71.86;Starke Helfer;2026;2027
14241;Lander;Loockx;1997;30;71.86;71.86;Starke Helfer;2026;2028
7278;Lewis;Askey;2001;26;71.83;74.64;Wassertraeger;2027;2027
7454;Raúl;García Pierna;2001;26;71.71;71.71;Wassertraeger;2026;2027
4957;Andrew;August;2006;21;71.70;75.63;Wassertraeger;2027;2027
12991;Riley;Sheehan;2000;27;71.48;71.48;Wassertraeger;2027;2029
3932;Will;Barta;1996;31;71.44;71.44;Wassertraeger;2027;2029
6027;Nils;Eekhoff;1998;29;71.00;71.00;Wassertraeger;2027;2029
7119;Joel;Nicolau;1998;29;70.86;70.86;Wassertraeger;2026;2027
5637;Fernando;Gaviria;1995;32;70.55;70.55;Sprinter;2027;2028
15261;Emiel;Verstrynge;2002;25;70.53;70.53;Wassertraeger;2026;2027
6346;Emilien;Jeannière;1999;28;70.31;70.31;Sprinter;2026;2027
14301;Sam;Welsford;1996;31;70.25;70.30;Sprinter;2026;2027
5765;Patrick;Gamper;1997;30;70.24;70.24;Wassertraeger;2026;2028
5897;Chris;Hamilton;1995;32;70.22;70.23;Wassertraeger;2026;2028
8590;Callum;Thornley;2004;23;70.05;75.83;Wassertraeger;2027;2027
9799;Eliott;Boulet;2007;20;69.62;76.32;Wassertraeger;2027;2028
