Rider ID;First Name;Last Name;Birth Year;Age in Season;Overall Rating;Potential Overall;Role;Contract Start;Contract End
7382;Lennert;Van Eetvelt;2002;26;75.94;78.75;Kapitaen;2027;2029
14321;Max;Poole;2003;25;75.47;78.36;Kapitaen;2027;2028
7424;Jay;Vine;1996;32;73.07;73.23;Kapitaen;2027;2030
9799;Eliott;Boulet;2007;21;72.45;76.32;Sprinter;2027;2028
6811;Kevin;Vermaerke;2001;27;72.39;72.39;Co-Kapitaen;2027;2028
7100;Matîs;Louvel;2000;28;71.99;71.99;Co-Kapitaen;2027;2029
14241;Lander;Loockx;1997;31;71.86;71.86;Co-Kapitaen;2026;2028
3932;Will;Barta;1996;32;71.29;71.44;Edelhelfer;2027;2029
12991;Riley;Sheehan;2000;28;71.25;71.48;Edelhelfer;2027;2029
7024;Marius;Mayrhofer;2001;27;71.24;75.40;Edelhelfer;2028;2029
6027;Nils;Eekhoff;1998;30;70.85;71.00;Edelhelfer;2027;2029
3466;Merhawi;Kudus;1994;34;70.76;71.21;Starke Helfer;2028;2028
5637;Fernando;Gaviria;1995;33;70.27;70.55;Sprinter;2027;2028
11230;Tomá;Kopecký;2000;28;70.27;70.27;Starke Helfer;2028;2029
3406;Clément;Venturini;1994;34;70.17;70.90;Starke Helfer;2028;2029
6415;Cyril;Barthe;1996;32;70.14;70.32;Starke Helfer;2028;2028
5765;Patrick;Gamper;1997;31;70.03;70.24;Starke Helfer;2026;2028
7415;Samuele;Zoccarato;1998;30;70.03;70.03;Starke Helfer;2028;2030
5897;Chris;Hamilton;1995;33;69.92;70.23;Starke Helfer;2026;2028
15591;Henri-Johannes;Appelbaum;2005;23;69.81;74.67;Wassertraeger;2028;2030
15522;Matys;Grisel;2006;22;69.77;73.64;Wassertraeger;2028;2030
11825;Josh;Johnson;2008;20;69.68;75.04;Wassertraeger;2028;2030
8728;Daniel;Cepa;2005;23;69.64;74.82;Wassertraeger;2028;2028
16463;Bohémond;Barrillot;2004;24;69.49;74.37;Wassertraeger;2028;2029
7701;Arthur;Van Den Boer;2007;21;69.48;74.64;Wassertraeger;2028;2029
11865;Jules;Vaugrenard;2006;22;69.39;74.36;Wassertraeger;2028;2029
11393;Braden;Reitz;2007;21;69.36;74.41;Wassertraeger;2028;2030
17191;Edwar;Becerra;2005;23;69.32;74.78;Sprinter;2028;2030
5536;Zeno Levi;Winter;2007;21;69.32;74.54;Wassertraeger;2028;2029
8733;Lucas;Towers;2004;24;69.16;75.16;Wassertraeger;2028;2029
12536;Joan;Cadena;2005;23;69.07;75.19;Wassertraeger;2028;2028
11886;Matteo;Vanden Wijngaert;2008;20;69.01;75.65;Wassertraeger;2028;2029
